Dutch,English,Level
uiterlijk,at the latest,A2/B1
vermoeid,tired,A2/B1
zelfvertrouwen het,self-confidence the,A2/B1
zich ergeren,to be irritated,A2/B1
A2/B1 - 3 - 3
begraafplaats de,cemetery the,A2/B1
begrafenis de,funeral the,A2/B1
bidden,to pray,A2/B1
condoleren,to offer one's condolences,A2/B1
crematie de,cremation the,A2/B1
diner het,dinner the,A2/B1
favoriet,favourite,A2/B1
fit,fit,A2/B1
graf het,grave the,A2/B1
hapje het,snack the,A2/B1
kerkdienst de,(church) service the,A2/B1
kist de,casket the,A2/B1
koor het,choir the,A2/B1
liedje het,song the,A2/B1
men,people,A2/B1
ontroerend,touching,A2/B1
overmorgen,the day after tomorrow,A2/B1
plaatsvinden,to take place,A2/B1
ritueel het,ritual the,A2/B1
somber,gloomy,A2/B1
sterven,to die,A2/B1
troosten,to comfort,A2/B1
uitvaart de,funeral the,A2/B1
verdriet het,sadness the,A2/B1
zingen,to sing,A2/B1
A2/B1 - 3 - 4
aanmoedigen,to encourage,A2/B1
avontuur het,adventure the,A2/B1
balen,to be sad,A2/B1
chocola de,chocolate the,A2/B1
discussiëren,to have a discussion,A2/B1
eindeloos,endlessly,A2/B1
excursie de,excursion the,A2/B1
extreem,extreme,A2/B1
geheim het,secret the,A2/B1
geruststellen,to reassure,A2/B1
gitaar de,guitar the,A2/B1
kroeg de,pub the,A2/B1
liefs,love,A2/B1
overeenkomst de,similarity the,A2/B1
psychologie de,psychology the,A2/B1
rechten de,law,A2/B1
steunen,to support,A2/B1
stiekem,secretly,A2/B1
sympathiek,sympathetic,A2/B1
verdwalen,to get lost,A2/B1
verlegen,shy,A2/B1
volwassen,adult,A2/B1
waarderen,to appreciate,A2/B1
wensen,to wish,A2/B1
zodra,as soon as,A2/B1
A2/B1 - 13 - 1
aanhef de,salutation the,A2/B1
beledigen,to insult,A2/B1
benaderen,to approach,A2/B1
bevriend,to be friends with,A2/B1
concurrent de,competitor the,A2/B1
consultant de,consultant the,A2/B1
desondanks,nevertheless,A2/B1
gastvrij,hospitable,A2/B1
gepast,appropriate,A2/B1
gunnen,to decide to give,A2/B1
hiërarchisch,hierarchical,A2/B1
hiervoor,prior to this,A2/B1
hoofd het,head the,A2/B1
inleiding de,introduction the,A2/B1
kritiek de,criticism the,A2/B1
kwetsend,hurtful,A2/B1
nuance de,nuance the,A2/B1
onbegrijpelijk,incomprehensible,A2/B1
onbewust,unconsciously,A2/B1
personeelsuitje het,staff outing the,A2/B1
sarcasme het,sarcasm the,A2/B1
transparant,transparent,A2/B1
transport het,transport the,A2/B1
uiten,to express,A2/B1
vakbond de,union the,A2/B1
vergaderen,to have a meeting,A2/B1
voortdurend,continuously,A2/B1
zich verheugen op,to look forward to,A2/B1
A2/B1 - 13 - 2
betrokken,involved,A2/B1
correct,correct,A2/B1
corrigeren,to correct,A2/B1
doorwerken,to continue working,A2/B1
evalueren,to evaluate,A2/B1
feedback de,feedback the,A2/B1
georganiseerd,organized,A2/B1
getal het,number the,A2/B1
houding de,attitude the,A2/B1
krap,tight,A2/B1
namens,on behalf of,A2/B1
ontevreden,dissatisfied,A2/B1
ontkennen,to deny,A2/B1
opengaan,to open,A2/B1
serveerster de,waitress the,A2/B1
spelfout de,spelling error the,A2/B1
spelling de,spelling the,A2/B1
tempo het,pace the,A2/B1
terecht,justified,A2/B1
vandaar,therefore,A2/B1
verbeterpunt het,area for improvement the,A2/B1
verslag het,report the,A2/B1
verwisselen,to mix up,A2/B1
wijzen,to point out,A2/B1
zich vergissen,to make a mistake,A2/B1
zorgvuldig,careful,A2/B1
A2/B1 - 13 - 3
accountant de,accountant the,A2/B1
afwijken,to deviate,A2/B1
beloning de,pay the,A2/B1
bewijzen,to prove,A2/B1
compenseren,to compensate,A2/B1
compromis het,compromise the,A2/B1
effectief,effective,A2/B1
exclusief,excluding,A2/B1
fenomeen het,phenomenon the,A2/B1
geconcentreerd,concentrated,A2/B1
indienen,to submit,A2/B1
motiveren,to motivate,A2/B1
norm de,norm the,A2/B1
overuren de,overtime the,A2/B1
per se,no matter what,A2/B1
personeel het,personnel the,A2/B1
raadplegen,to consult,A2/B1
reclamebureau het,advertising agency the,A2/B1
standaard de,norm the,A2/B1
thuiswerken,to work from home,A2/B1
uitbetalen,to pay,A2/B1
wekelijks,weekly,A2/B1
wetenschapper de,scientist the,A2/B1
A2/B1 - 13 - 4
afleiding de,distraction the,A2/B1
bloot,bare,A2/B1
braaf,well-behaved,A2/B1
combineren,to combine,A2/B1
drank de,drink the,A2/B1
dreigen,to threaten,A2/B1
geheimzinnig,mysterious,A2/B1
gemeenschappelijk,common,A2/B1
gerucht het,rumour the,A2/B1
gezelligheid de,conviviality the,A2/B1
hoera,hurray,A2/B1
meerderheid de,majority the,A2/B1
mond de,mouth the,A2/B1
nuchter,sober,A2/B1
opvatting de,view the,A2/B1
recentelijk,recently,A2/B1
roddel de,gossip the,A2/B1
schijnen,to seem,A2/B1
tegenstelling de,contrast the,A2/B1
tunnel de,tunnel the,A2/B1
verlof het,leave the,A2/B1
vertrouwelijk,confidential,A2/B1
vredig,peaceful,A2/B1
A2/B1 - 12 - 1
aanspreken,to talk to,A2/B1
begeleider de,supervisor the,A2/B1
begeleiding de,guidance the,A2/B1
beginnend,starting,A2/B1
beheersen,to be proficient in,A2/B1
beschikken over,to have,A2/B1
beschrijving de,description the,A2/B1
bijvoegen,to attach,A2/B1
competentie de,competence the,A2/B1
enthousiasme het,enthusiasm the,A2/B1
flexibiliteit de,flexibility the,A2/B1
gedurende,during,A2/B1
gelegenheid de,opportunity the,A2/B1
humor de,humour the,A2/B1
inclusief,including,A2/B1
natuurkunde de,physics the,A2/B1
onderbouw de,junior classes of secondary education the,A2/B1
onderbreken,to cut short,A2/B1
opzetten,to set up,A2/B1
overdragen,to transfer,A2/B1
persoonlijkheid de,personality the,A2/B1
project het,project the,A2/B1
relevant,relevant,A2/B1
toelichten,to explain,A2/B1
voortzetten,to continue,A2/B1
wijze de,manner the,A2/B1
wo het,university education the,A2/B1
zich inleven,to empathize,A2/B1
A2/B1 - 12 - 2
aankondiging de,announcement the,A2/B1
aanwezigheid de,presence the,A2/B1
aarzelen,to hesitate,A2/B1
achterin,at the back,A2/B1
bevallen,to like,A2/B1
dossier het,file the,A2/B1
etage de,floor the,A2/B1
exact,exactly,A2/B1
indelen,to arrange,A2/B1
kapstok de,coat rack the,A2/B1
kopiëren,to copy,A2/B1
opbergen,to store,A2/B1
printen,to print,A2/B1
printer de,printer the,A2/B1
schoolbord het,blackboard the,A2/B1
schuiven,to move (around),A2/B1
uitkijken naar,to look forward to,A2/B1
verderop,further down,A2/B1
voorin,in the front,A2/B1
voorstellen,to suggest,A2/B1
A2/B1 - 12 - 3
aangenaam,pleased,A2/B1
administratief,administrative,A2/B1
begrijpelijk,understandable,A2/B1
brugklas de,first year of secondary education the,A2/B1
concreet,concrete,A2/B1
coördinator de,coordinator the,A2/B1
creëren,to create,A2/B1
grotendeels,largely,A2/B1
inlichten,to inform,A2/B1
kandidaat de,candidate the,A2/B1
kennismaken,to meet,A2/B1
komst de,coming,A2/B1
leider de,leader the,A2/B1
nadat,after,A2/B1
natuurlijk,natural,A2/B1
opstellen,to draw up,A2/B1
orde de,order the,A2/B1
overeenkomen,to be the same,A2/B1
procedure de,procedure the,A2/B1
scheikunde de,chemistry the,A2/B1
uitkomst de,outcome the,A2/B1
voorafgaand,prior (to),A2/B1
wellicht,maybe,A2/B1
zwak,weak,A2/B1
A2/B1 - 12 - 4
afkeer de,aversion the,A2/B1
doorgaans,usually,A2/B1
gekoeld,refrigerated,A2/B1
handel de,trade the,A2/B1
importeren,to import,A2/B1
industrie de,industry the,A2/B1
industrieterrein het,industrial zone the,A2/B1
investeren,to invest,A2/B1
kracht de,power the,A2/B1
kruid het,herb the,A2/B1
langzamerhand,gradually,A2/B1
omzet de,turnover the,A2/B1
onderneming de,business the,A2/B1
oprichten,to set up,A2/B1
pand het,building the,A2/B1
rondlopen,to walk around,A2/B1
sector de,sector the,A2/B1
slachten,to slaughter,A2/B1
slachthuis het,abattoir the,A2/B1
slagerij de,butcher shop the,A2/B1
subsidie de,subsidy the,A2/B1
telefoontje het,phone call the,A2/B1
vel het,skin the,A2/B1
verslaving de,addiction the,A2/B1
waarmaken,to realize,A2/B1
winst de,profit the,A2/B1
woedend,furious,A2/B1
zonsopgang de,sunrise the,A2/B1
A2/B1 - 11 - 1
bezeren,to hurt,A2/B1
binnenkant de,inside the,A2/B1
blessure de,injury the,A2/B1
buigen,to bend,A2/B1
diagnose de,diagnosis the,A2/B1
fysiotherapeut de,physiotherapist the,A2/B1
gezwollen,swollen,A2/B1
kneuzen,to bruise,A2/B1
leunen,to lean (on),A2/B1
nader,further,A2/B1
oefening de,exercise the,A2/B1
pijnlijk,painful,A2/B1
plannen,to plan,A2/B1
rusten,to rest,A2/B1
strekken,to stretch,A2/B1
verbetering de,improvement the,A2/B1
verminderen,to lessen,A2/B1
verwijzen,to refer,A2/B1
vocht het,fluid the,A2/B1
voorschrijven,to prescribe,A2/B1
zich verplaatsen,to move,A2/B1
A2/B1 - 11 - 2
afkomen van,to get rid of,A2/B1
balans de,balance the,A2/B1
beschouwen,to consider,A2/B1
combinatie de,combination the,A2/B1
concentratie de,concentration the,A2/B1
crisis de,crisis the,A2/B1
definitie de,definition the,A2/B1
depressief,depressed,A2/B1
enkel(e),a few,A2/B1
erfelijkheid de,heredity the,A2/B1
factor de,factor the,A2/B1
frequent,frequent,A2/B1
gebrek het,lack the,A2/B1
hoop de,hope the,A2/B1
ingrijpend,drastic,A2/B1
levensstijl de,lifestyle the,A2/B1
oordeel het,opinion the,A2/B1
overkomen,to happen,A2/B1
relativeren,to put into perspective,A2/B1
rouw de,mourning the,A2/B1
schaamte de,shame the,A2/B1
slapeloosheid de,insomnia the,A2/B1
stoornis de,disorder the,A2/B1
symptoom het,symptom the,A2/B1
traumatisch,traumatic,A2/B1
voeding de,nutrition the,A2/B1
volop,greatly,A2/B1
werkelijkheid de,reality the,A2/B1
essentieel,essential,A2/B1
A2/B1 - 11 - 3
atleet de,athlete the,A2/B1
calorie de,calorie the,A2/B1
cruciaal,crucial,A2/B1
daadwerkelijk,actually,A2/B1
dieet het,diet the,A2/B1
diëtist de,dietician the,A2/B1
energiek,energetic,A2/B1
functioneren,to function,A2/B1
geobsedeerd,obsessed,A2/B1
gestrest,stressed,A2/B1
kwestie de,matter the,A2/B1
meditatie de,meditation the,A2/B1
obsessie de,obsession the,A2/B1
opleveren,to cause,A2/B1
overgewicht het,obesity the,A2/B1
productief,productive,A2/B1
recept het,recipe the,A2/B1
samenvatten,to summarize,A2/B1
suf,drowsy,A2/B1
tellen,to count,A2/B1
vitamine de,vitamin the,A2/B1
zich afvragen,to wonder,A2/B1
zich bezighouden,to busy oneself,A2/B1
zich ontspannen,to relax,A2/B1
A2/B1 - 11 - 4
bacterie de,bacterium the,A2/B1
beoordelen,to assess,A2/B1
beugel de,braces the,A2/B1
bloeden,to bleed,A2/B1
chirurg de,surgeon the,A2/B1
gebit het,teeth the,A2/B1
jarenlang,for years,A2/B1
kaak de,jaw the,A2/B1
kies de,molar the,A2/B1
mondhygiënist de,dental hygienist the,A2/B1
naar,unpleasant,A2/B1
ontsteking de,inflammation the,A2/B1
ontstoken,inflamed,A2/B1
opereren,to perform surgery,A2/B1
orthodontist de,orthodontist the,A2/B1
schuin,under an angle,A2/B1
tandenstoker de,toothpick the,A2/B1
tandpasta de,toothpaste the,A2/B1
tandsteen het,tartar the,A2/B1
tandvlees het,gums the,A2/B1
tenzij,unless,A2/B1
trauma het,trauma the,A2/B1
trekken,to pull,A2/B1
verstandskies de,wisdom tooth the,A2/B1
verwijsbrief de,referral letter the,A2/B1
A2/B1 - 10 - 1
aanraken,to touch,A2/B1
alternatief het,alternative the,A2/B1
belangstelling de,interest the,A2/B1
bijhouden,to track,A2/B1
conservatief,conservative,A2/B1
cynisch,cynical,A2/B1
daten,to date,A2/B1
doorsturen,to send on,A2/B1
gebruiksvriendelijk,user-friendly,A2/B1
geregeld,regularly,A2/B1
grafiek de,graph the,A2/B1
instellen,to set up,A2/B1
kaart de,map the,A2/B1
meten,to measure,A2/B1
navigatie de,navigation the,A2/B1
nostalgisch,nostalgic,A2/B1
nut het,use(fulness) the,A2/B1
opname de,recording the,A2/B1
scherp,sharp,A2/B1
staren,to stare,A2/B1
testen,to test,A2/B1
toegeven,to admit,A2/B1
toestel het,apparatus the,A2/B1
vernieuwing de,innovation the,A2/B1
wantrouwen het,mistrust the,A2/B1
A2/B1 - 10 - 2
afzender de,sender the,A2/B1
besmetten,to infect,A2/B1
bevatten,to contain,A2/B1
bijlage de,attachment the,A2/B1
filter de,filter the,A2/B1
fraude de,fraud the,A2/B1
gebruikmaken van,to use,A2/B1
gewelddadig,violent,A2/B1
invoeren,to enter,A2/B1
minderjarig,underage,A2/B1
misbruiken,to abuse,A2/B1
nep,fake,A2/B1
ongepast,inappropriate,A2/B1
plegen,to commit,A2/B1
raadplegen,to consult,A2/B1
stichting de,foundation the,A2/B1
teken het,character the,A2/B1
uitloggen,to log out,A2/B1
vals,false.,A2/B1
variatie de,variation the,A2/B1
vermijden,to avoid,A2/B1
verwijderen,to delete,A2/B1
virus het,virus the,A2/B1
voorlichting de,information the,A2/B1
zoekmachine de,search engine the,A2/B1
zolang,as long as,A2/B1
A2/B1 - 10 - 3
aangezien,since,A2/B1
balie de,reception desk the,A2/B1
beleid het,policy the,A2/B1
bijwonen,to attend,A2/B1
directie de,management the,A2/B1
dringend,urgent,A2/B1
foutmelding de,error message the,A2/B1
frustrerend,frustrating,A2/B1
gezeur het,nonsense the,A2/B1
handleiding de,manual the,A2/B1
herstellen,to restore,A2/B1
onjuist,incorrect,A2/B1
ontbreken,to lack,A2/B1
opstarten,to start up,A2/B1
poging de,attempt the,A2/B1
puur,pure,A2/B1
recent,recently,A2/B1
sessie de,session the,A2/B1
standaard,standard,A2/B1
uitleg de,explanation the,A2/B1
vereist,required,A2/B1
verschijnen,to appear,A2/B1
verspilling de,waste the,A2/B1
vlug,quickly,A2/B1
vooruit,forward,A2/B1
A2/B1 - 10 - 4
afname de,decline the,A2/B1
arm,poor,A2/B1
armoede de,poverty the,A2/B1
bedreiging de,threat the,A2/B1
beïnvloeden,to affect,A2/B1
conclusie de,conclusion the,A2/B1
eigenschap de,characteristic the,A2/B1
fabriek de,factory the,A2/B1
intelligent,intelligent,A2/B1
kunstmatig,artificial,A2/B1
landbouw de,agriculture the,A2/B1
lever de,liver the,A2/B1
menselijk,human,A2/B1
nier de,kidney the,A2/B1
orgaan het,organ the,A2/B1
produceren,to produce,A2/B1
productie de,production the,A2/B1
robot de,robot the,A2/B1
solidariteit de,solidarity the,A2/B1
technologisch,technological,A2/B1
tekort het,shortage the,A2/B1
toekomstig,future,A2/B1
tolerantie de,tolerance the,A2/B1
uitvinding de,invention the,A2/B1
voedsel het,food the,A2/B1
A2/B1 - 9 - 1
aanspreken,to talk to,A2/B1
alarm het,alarm the,A2/B1
beheer het,management the,A2/B1
beveiligen,to safeguard,A2/B1
beveiliger de,security guard the,A2/B1
beveiliging‚ de,security the,A2/B1
bewaken,to guard,A2/B1
bezoeker de,visitor the,A2/B1
bord het,sign the,A2/B1
discriminatie de,discrimination the,A2/B1
goedkeuring de,approval the,A2/B1
hulpverlener de,first responder the,A2/B1
intimidatie de,harassment the,A2/B1
kalm,calm,A2/B1
nood de,emergency the,A2/B1
omgangsvorm de,social behaviour the,A2/B1
ongewenst,unwanted,A2/B1
opslaan,to store,A2/B1
pesten,to bully,A2/B1
protocol het,protocol the,A2/B1
seksueel,sexual,A2/B1
toegankelijk,accessible,A2/B1
toezicht het,supervision the,A2/B1
uitsluitend,only,A2/B1
verdacht,suspicious,A2/B1
verlies het,loss the,A2/B1
vertrouwenspersoon de,confidential adviser the,A2/B1
A2/B1 - 9 - 2
(buurt)preventie de,(neighbourhood) watch the,A2/B1
alert,alert,A2/B1
bedreigen,to threaten,A2/B1
beroven,to rob,A2/B1
criminaliteit de,crime the,A2/B1
crimineel de,criminal the,A2/B1
dader de,offender the,A2/B1
dierbaar,beloved,A2/B1
drugs de,drugs the,A2/B1
dwingen,to force,A2/B1
hangjongeren de,loitering youths the,A2/B1
inbreken,to burgle,A2/B1
juwelier de,jeweller the,A2/B1
misdrijf het,felony the,A2/B1
onschuldig,innocent,A2/B1
overval de,robbery the,A2/B1
pistool het,gun the,A2/B1
puinhoop de,mess the,A2/B1
steen de,stone the,A2/B1
tak de,branch the,A2/B1
vernieling de,vandalism the,A2/B1
zich aansluiten,to join,A2/B1
zonnebril de,sunglasses the,A2/B1
A2/B1 - 9 - 3
aanrijding de,collision the,A2/B1
afslag de,exit the,A2/B1
automobilist de,driver of a car the,A2/B1
breed,wide,A2/B1
brug de,bridge the,A2/B1
chauffeur de,driver the,A2/B1
gas geven,to accelerate,A2/B1
gevaar het,danger the,A2/B1
gordel de,seatbelt the,A2/B1
instructeur de,instructor the,A2/B1
maximum het,maximum the,A2/B1
oppassen,to watch out,A2/B1
remmen,to brake,A2/B1
rotonde de,roundabout the,A2/B1
schakelen,to shift gears,A2/B1
smal,narrow,A2/B1
stuur het,steering wheel the,A2/B1
tanken,to fill up (with fuel),A2/B1
tankstation het,petrol station the (US: gas station the),A2/B1
theorie de,theory the,A2/B1
tot,until,A2/B1
uitdelen,to hand out,A2/B1
versnelling de,gear the,A2/B1
voorgaan,to go ahead,A2/B1
voorrang de,right of way the,A2/B1
vooruit,forward,A2/B1
vrachtwagen de,truck the,A2/B1
A2/B1 - 9 - 4
besluit het,decision the,A2/B1
diep,deep,A2/B1
EHBO de,first aid the,A2/B1
gedeelte het,part the,A2/B1
gigantisch,gigantic,A2/B1
herkomst de,origin the,A2/B1
informeren,to inform,A2/B1
oceaan de,ocean the,A2/B1
ontspanning de,relaxation the,A2/B1
redden,to rescue,A2/B1
schitterend,gorgeous,A2/B1
strandwacht de,lifeguard the,A2/B1
stressvol,stressful,A2/B1
stroming de,current the,A2/B1
surfen,to surf,A2/B1
verdrinken,to drown,A2/B1
vermist,missing,A2/B1
vijand de,enemy the,A2/B1
vijver de,pond the,A2/B1
zeilen,to sail,A2/B1
zich gedragen,to behave oneself,A2/B1
zwemdiploma het,swimming diploma the,A2/B1
zwemles de,swimming lesson the,A2/B1
A2/B1 - 8 - 1
achterlaten,to leave,A2/B1
afzeggen,to cancel,A2/B1
beëindigen,to end,A2/B1
benadrukken,to emphasize,A2/B1
beperking de,limitation the,A2/B1
bevestiging de,confirmation the,A2/B1
blokkeren,to get tongue-tied,A2/B1
boodschap de,message the,A2/B1
context de,context the,A2/B1
efficiënt,efficient,A2/B1
generatie de,generation the,A2/B1
instantie de,organization the,A2/B1
inzicht het,insight the,A2/B1
medeleven het,compassion the,A2/B1
mondeling,oral,A2/B1
onrustig,restless,A2/B1
ontslaan,to fire,A2/B1
ontvanger de,recipient the,A2/B1
oproep de,call the,A2/B1
reageren,to respond,A2/B1
spontaan,spontaneous,A2/B1
storen,to bother,A2/B1
toon de,tone the,A2/B1
uitdrukken,to express,A2/B1
volume het,volume the,A2/B1
waardevol,valuable,A2/B1
zich verontschuldigen,to apologize,A2/B1
A2/B1 - 8 - 2
aanleiding de,reason the,A2/B1
aanpassen,to adapt,A2/B1
asociaal,antisocial,A2/B1
barbecue de,barbecue the,A2/B1
beperkt,limited,A2/B1
betreffen,to concern,A2/B1
essentieel,essential,A2/B1
fluisteren,to whisper,A2/B1
gehorig,not soundproof,A2/B1
herinneren aan,to remind of,A2/B1
huurder de,tenant the,A2/B1
luid,loud,A2/B1
maatregel de,measure the,A2/B1
omstandigheid de,circumstance the,A2/B1
onvoldoende,insufficient,A2/B1
oppervlakte de,surface area the,A2/B1
overtreden,to violate,A2/B1
reglement het,regulation the,A2/B1
rook de,smoke the,A2/B1
schreeuwen,to shout,A2/B1
stank de,stench the,A2/B1
verbazen,to surprise,A2/B1
verboden,prohibited,A2/B1
verzoeken,to request,A2/B1
voorstellen,to suggest,A2/B1
voorzitter de,chairman the,A2/B1
waarschuwing de,warning the,A2/B1
A2/B1 - 8 - 3
aannemen,to accept,A2/B1
aansluiting de,connection the,A2/B1
begrip het,understanding the,A2/B1
bestaand,existing,A2/B1
eisen,to demand,A2/B1
flink,considerable,A2/B1
gebruiksaanwijzing de,instruction manual the,A2/B1
helpdesk de,help desk the,A2/B1
instelling de,setting the,A2/B1
keuzemenu het,options menu the,A2/B1
logisch,logical,A2/B1
modem de,modem the,A2/B1
momenteel,currently,A2/B1
onbeperkt,unlimited,A2/B1
ongemak het,inconvenience the,A2/B1
overig,other,A2/B1
slordig,careless,A2/B1
tegelijkertijd,at the same time,A2/B1
uitpakken,to unpack,A2/B1
verbinden,to connect,A2/B1
wifi de,Wi-Fi the,A2/B1
wijzigen,to change,A2/B1
wijziging de,change the,A2/B1
A2/B1 - 8 - 4
afwijzen,to turn down,A2/B1
bagage de,luggage the,A2/B1
beschuldigen,to accuse,A2/B1
expliciet,explicitly,A2/B1
expres,on purpose,A2/B1
garage de,garage the,A2/B1
gemeen,mean,A2/B1
hal de,hall the,A2/B1
impliciete,implicit,A2/B1
koffer de,suitcase the,A2/B1
landen,to land,A2/B1
onterecht,undeserved,A2/B1
onzin de,nonsense the,A2/B1
rekenen op,to count on,A2/B1
springen,to jump,A2/B1
teleurstelling de,disappointment the,A2/B1
terrein het,terrain the,A2/B1
vastleggen,to set down,A2/B1
verdedigen,to defend,A2/B1
verlopen,to go (well),A2/B1
verwarrend,confusing,A2/B1
verwijten,to blame,A2/B1
zich realiseren,to realize,A2/B1
zojuist,just a moment ago,A2/B1
A2/B1 - 7 - 1
achterstand de,deficiency the,A2/B1
asielzoekerscentrum het (azc),asylum seekers' centre the,A2/B1
automaat de,machine the,A2/B1
band de,bond the,A2/B1
begeleiden,to guide,A2/B1
beperken,to limit,A2/B1
betrekken,to involve,A2/B1
commercieel,commercial,A2/B1
degene,the one,A2/B1
divers(e),various,A2/B1
hersenen de,brain the,A2/B1
integratie de,integration the,A2/B1
mentor de,mentor the,A2/B1
ondersteunen,to support,A2/B1
ontstaan,to develop,A2/B1
puberteit de,puberty the,A2/B1
pushen,to push,A2/B1
rol de,role the,A2/B1
stagiaire de,intern the,A2/B1
succesvol,successful,A2/B1
vermoeiend,exhausting,A2/B1
waardering,appreciation the,A2/B1
werkzaam,working,A2/B1
zakelijk,business,A2/B1
zich richten op,to focus on,A2/B1
A2/B1 - 7 - 2
avontuurlijk,adventurous,A2/B1
bejaarde de,the elderly person the,A2/B1
chillen,to chill,A2/B1
doorzetten,to hang in,A2/B1
ervaren,to experience,A2/B1
fantaseren,to fantasize,A2/B1
getalenteerd,talented,A2/B1
inzet de,effort the,A2/B1
journalist de,journalist the,A2/B1
moed de,courage the,A2/B1
motiveren,to motivate,A2/B1
onderhouden,to maintain,A2/B1
ontslag het,resignation the,A2/B1
passie de,passion the,A2/B1
pessimistisch,pessimistic,A2/B1
piekeren,to worry,A2/B1
programmeren,to program,A2/B1
schilderen,to paint,A2/B1
schrijver de,writer the,A2/B1
stabiel,stable,A2/B1
terugkeren,to return,A2/B1
tonen,to show,A2/B1
uitdaging de,challenge the,A2/B1
werkgelegenheid de,employment the,A2/B1
A2/B1 - 7 - 3
aantonen,to show,A2/B1
ambitie de,ambition the,A2/B1
aspect het,aspect the,A2/B1
associëren,to associate,A2/B1
bestrijden,to fight,A2/B1
crème de,cream the,A2/B1
definitief,definitive,A2/B1
dementie de,dementia the,A2/B1
dood de,death the,A2/B1
filosoof de,philosopher the,A2/B1
fobie de,phobia the,A2/B1
geestelijk,mentally,A2/B1
geïnteresseerd,interested,A2/B1
kaal,bald,A2/B1
kanker de,cancer the,A2/B1
lichamelijk,physically,A2/B1
onvermijdelijk,inevitable,A2/B1
operatie de,operation the,A2/B1
plastische chirurgie de,plastic surgery the,A2/B1
proces het,process the,A2/B1
rimpel de,wrinkle the,A2/B1
stijging de,increase the,A2/B1
tegengaan,to prevent,A2/B1
verdubbelen,to double,A2/B1
veroudering de,ageing the,A2/B1
verspreiden,to spread,A2/B1
wijs,wise,A2/B1
A2/B1 - 7 - 4
65-plusser de,person of 65 or older the,A2/B1
aandoening de,condition the,A2/B1
achteruitgaan,to decrease,A2/B1
decennium het,decade the,A2/B1
fonds het,fund the,A2/B1
geleidelijk,gradually,A2/B1
loondienst de,paid employment the,A2/B1
loopbaan de,career the,A2/B1
mentaal,mental,A2/B1
minimumloon het,minimum wage the,A2/B1
ondernemen,to undertake,A2/B1
ondernemer de,entrepreneur the,A2/B1
opbouwen,to accrue,A2/B1
percentage het,percentage the,A2/B1
regeling de,scheme the,A2/B1
rondkomen,to make ends meet,A2/B1
schenken,to donate,A2/B1
spaargeld het,savings the,A2/B1
thuiszorg de,home care the,A2/B1
tuinieren,to work in the garden,A2/B1
vergrijzen,to age,A2/B1
volledig,completely,A2/B1
vrijwel,almost,A2/B1
zich aankleden,to get dressed,A2/B1
A2/B1 - 6 - 1
analyseren,to analyse,A2/B1
apart,separate,A2/B1
collegegeld het,tuition fees the,A2/B1
doorstromen,to continue on,A2/B1
duur de,duration the,A2/B1
evenveel,just as much,A2/B1
hogeschool de,university of applied sciences the,A2/B1
ingenieur de,engineer the,A2/B1
inhoud de,content the,A2/B1
instelling de,setting the,A2/B1
leraar de,teacher the,A2/B1
mbo het,secondary vocational education the,A2/B1
regering de,government the,A2/B1
richting de,specialisation the,A2/B1
schakelprogramma het,bridging programme the,A2/B1
scriptie de,thesis the,A2/B1
specifiek,specific,A2/B1
tandheelkunde de,dentistry the,A2/B1
toelaten,to admit,A2/B1
toelating de,admission the,A2/B1
toepassen,to apply,A2/B1
universitair,university,A2/B1
verblijfsvergunning de,residence permit the,A2/B1
voldoen,to comply,A2/B1
vooropleiding de,pre-education the,A2/B1
zich specialiseren,to specialize,A2/B1
A2/B1 - 6 - 2
aantekening de,note the,A2/B1
afschaffen,to scrap,A2/B1
anoniem,anonymous,A2/B1
bedrijfskunde de,business administration the,A2/B1
deadline de,deadline the,A2/B1
expert de,expert the,A2/B1
formeel,formal,A2/B1
hoorcollege het,lecture the,A2/B1
individueel,individual,A2/B1
informeel,informal,A2/B1
initiatief het,initiative the,A2/B1
leerzaam,informative,A2/B1
massaal,massive,A2/B1
mede-,fellow,A2/B1
Nederlandstalig,in the Dutch language,A2/B1
paper de,paper the,A2/B1
passief,passive,A2/B1
presenteren,to give a presentation,A2/B1
stelling de,position the,A2/B1
sterk,strong,A2/B1
stof de,material the,A2/B1
voorkeur de,preference the,A2/B1
werkcollege het,seminar the,A2/B1
A2/B1 - 6 - 3
afwezig,absent,A2/B1
alinea de,paragraph the,A2/B1
bijgeloof het,superstition the,A2/B1
dramatisch,dramatic,A2/B1
examenvrees de,fear of exams the,A2/B1
falen,to fail,A2/B1
geheugen het,memory the,A2/B1
ingewikkeld,complicated,A2/B1
inhalen,to do over,A2/B1
kluisje het,locker the,A2/B1
nakijken,to check,A2/B1
opblijven,to stay up,A2/B1
overhoren,to test,A2/B1
paniek de,panic the,A2/B1
sjaal de,scarf the,A2/B1
spieken,to cheat,A2/B1
talent het,talent the,A2/B1
toespraak de,speech the,A2/B1
uitgerust,well-rested,A2/B1
uitslag de,result the,A2/B1
voorbereiding de,preparation the,A2/B1
wekker de,alarm clock the,A2/B1
zelfverzekerd,self-confident,A2/B1
zich aanstellen,to be dramatic,A2/B1
zich concentreren,to concentrate,A2/B1
zich ziekmelden,to call in sick,A2/B1
A2/B1 - 6 - 4
band de,tyre the,A2/B1
echtpaar het,married couple the,A2/B1
fantasie de,fantasy the,A2/B1
hout het,wood the,A2/B1
instructie de,instruction the,A2/B1
